tweet_number,tweet
92,"Only moments before CNN projected that Joe Biden will win the presidency, President Trump's campaign manager Bill Stepien insisted on a call with staff that he still has a path to victory. ""He is in this fight. He is in this fight...These are razor thin margins."""
93,"Lots to parse here but check out this amazing false equivalency: ""Yes, I think President Trump should have accepted President Biden’s victory when it became clear he won. I think Secretary Clinton should have done the same thing in 2016.""
HRC conceded the day after the election!"
94,"Senator @ChuckGrassley’s full statement on his vote to find former President Donald Trump not guilty of the House of Representatives’ article of impeachment. ↓
https://grassley.senate.gov/news/news-releases/grassley-statement-impeachment-trial…"
95,"Joe Biden's lead over Donald Trump is holding, while Hillary Clinton's was collapsing at this point | Analysis by CNN's Harry Enten https://cnn.it/3ktzAVf"
96,"RACE FOR THE WHITE HOUSE
As of 11:06 p.m. ET

Electoral votes (270 to win):

- Biden: 212
- Trump: 148
- TBD: 178"
97,"The party of the #President in office, in their first year after #election, has always lost the #Virginia & #NewJersey #gubernatorial races since 1988  #GeorgeHWBush (#Bush Sr, #Clinton, #Bush Jr, #Obama, #Trump) 
#Biden is the first President since #Reagan to only lose one"
98,Joe Biden is projected to defeat incumbent Donald Trump in the presidential election
99,"Hillary Clinton, Who Called Trump An ‘Illegitimate President,’ Says Casting Doubt On Election Is ‘Doing Putin’s Work’ https://thepoliticalinsider.com/hillary-clinton-who-called-trump-an-illegitimate-president-says-casting-doubt-on-election-is-doing-putins-work/… via 
@TPInsidr
 We should be able to challenge this election without interference from DOJ, FBI or Big Tech, investigate Biden"
100,"No one should pardon James Comey Jr for reopening the Hillary Clinton email case days before the 2016 election.  And no one, least of all Joe Biden, should listen to Comey when he advocates the President-elect consider pardoning President Trump."
101,Comey: Biden should consider pardoning Trump http://hill.cm/kI4ureB
102,"1/3 Joe Biden has defeated Donald Trump in the presidential race. We examined how Biden has changed, and what a lame-duck Trump presidency could look like."
103,"Hillary Clinton tried to get out of going to Donald Trump’s inauguration
https://express.co.uk/news/world/1383482/donald-trump-inauguration-hillary-clinton-joe-biden-us-president-election-bill-clinton-spt…"
104,"Former Presidents Bush, Obama and Clinton as well as President Biden all celebrated Sept. 11 by talking about the heroic sacrifices of first responders and the passengers on Flight 93. Former President Trump talked about the “rigged” 2020 election. See “Dominion sues Fox.”"
105,"President-elect Joe Biden's margin of victory over President Donald Trump surpassed 6 million votes on Friday, as ballots continue to be counted across the nation. https://cnn.it/3kTjUKD"
106,JUST IN: The Electoral College votes to cement Joe Biden’s victory over incumbent President Donald Trump. https://cnb.cx/2Wi86HM
107,"Joe Biden is the president-elect, CNN projects, winning on a message of unity and a pledge to restore the ""soul of the nation"" after four years of tumult under President Trump https://cnn.it/2JBvtcf"
108,"BREAKING: Joe Biden has won the presidency, denying Donald Trump a second term. Biden’s victory in Pennsylvania has put him over the 270 electoral votes needed to win"
109,"Joe Biden captured the U.S. presidency on Saturday, emerging the victor over Donald Trump in a tight election that was not decided until days after the polls closed https://reut.rs/2IlwRPv"
110,"IT'S OVER: Joe Biden beats Donald Trump to become next president of the United States

https://thenational.scot/news/18855117.cnn-call-us-election-joe-biden-next-president-united-states/…"
111,"President-elect Biden received 5,230,985 votes in New York. That is an increase of 674,867 votes received by Hillary Clinton in 2016. President Trump also received more votes this year, a 425,265-vote increase to 3,244,798 ballots cast. http://specne.ws/2nnsWL?cid=twitter_SPECNewsAlbany…"
112,"Joe Biden leads Donald Trump in every one of six key battleground states, all but erasing the advantage with White voters that Trump used to put together a razor-thin victory four years ago"
113,"BREAKING: Joe Biden beats Trump, wins U.S. presidential election https://bit.ly/359LtuB"
114,Donald Trump’s path to reelection narrowed after Joe Biden flipped Arizona Wednesday and pulled into the lead in Michigan and Wisconsin.
115,"#September11 #NeverForget911  #PresidentBiden 

President Biden along with former Presidents Obama and Clinton HONORED those who lost there lives on
9/11 20 years ago yesterday

What was Trump doing he was calling a boxing
match and spreading election lies again"
116,Election 2020 live results: President-elect Joe Biden claims national mandate after denying Donald Trump second term https://cnb.cx/2Uh5Dg1
117,"In a race with historic turnout, President-elect Joe Biden beat President Trump by nearly 7 million votes, and 74 votes in the Electoral College.

But his victory really was stitched together with narrow margins in a handful of swing states.
https://trib.al/JyV8V7y"
118,"Wisconsin's gonna be very, very tight.

Bulk of outstanding ballots coming from Milwaukee Co

Clinton won it by 162k. Biden currently ahead by 53k.

Trump's currently ahead by 110k. Which means if Biden picks up enough to reach parity with Clinton '16... they're virtually tied."
119,"The fate of the U.S. presidency hung in the balance, as President Donald Trump and Democratic rival Joe Biden battled for three familiar battleground states — Wisconsin, Michigan and Pennsylvania — that could determine who wins the White House."
120,"#USElections2020 Nov 5 - 8AM IST  #JoeBiden inches closer of being next President. His wins in pivotal swing states of #Michigan and #Wisconsin, #JoeBiden secured 264 electoral college votes to #DonaldTrump's 214 votes. #Trump’s team filed lawsuits in 3 states to stop counting."
121,"LATEST: Joe Biden defeated President Donald Trump in Wisconsin, the Associated Press projected, securing a battleground state that Hillary Clinton lost four years ago"
122,Trump is LEADING Biden in all key swing states -- no joke. The only pollster to get Brexit and Trump's Electoral College victory in 2016 right explains what the deal is: https://youtube.com/watch?v=CzdBgXM0WDA&t=2787s…
123,"Joe Biden entered Election Day with multiple paths to victory while President Trump, playing catch-up in a number of battleground states, had a narrower but still feasible road to clinch 270 Electoral College votes. Control of the Senate is also at stake."
124,"When the count is complete, President-Elect Joe Biden will have won more votes, percentage-wise, of any challenger since FDR beat Hoover in 1932.

And Trump finally won more votes than Hillary Clinton."
125,"Biden beat Trump 306-232 in the Electoral College.

That was the same margin that Trump called ""a landslide"" when he won it over Hillary Clinton (despite losing the popular vote by 3 million.)

There. Happy now?"
126,"Dude, United States elections aren’t determined by the popular vote. Surely you know that. Obviously you are trying to mislead by continuing to make that claim."
127,"And this is the story in battlegrounds all over the country.

Biden got far more votes than Clinton, but Trump grew his vote substantially, too, and it made the election close.

Look at Florida: Clinton got 4.5M and Biden has 5.3M; Trump has gone from 4.6M to 5.6M (with 96% in)."
128,"Joe Biden insisted he was on the verge of winning the presidency, urging calm and patience as the final votes were counted. President Trump unleashed a tirade from the White House filled with falsehoods about the electoral system 
@mviser
 
@ToluseO
."
129,"Joe Biden is President-elect. 
It wasn’t even close. 
@JoeBiden
 

279-214

BIDEN 50.7%
77,096,474

TRUMP 47.5%
72,168,821

6,589,115 legal votes left to count."
130,"Democratic candidate #JoeBiden was elected the 46th President of the United States beating incumbent U.S. President Donald Trump, by securing more than the required 270 of 538 Electoral College votes needed to win the White House"
131,"BREAKING: Joe Biden has won the race to become the next US president, defeating Donald Trump following a cliff-hanger vote count after Tuesday's election. https://bbc.in/3eDwImA"
132,"Biden leading Trump 55-44 in Franklin County

Trump beat Clinton there 50-45..."
133,CNN and other outlets have called the 46th Presidential Election for Joe Biden
134,"[속보] CNN “조 바이든, 미국 46대 대통령 당선”"
135,"#Congress certified U.S. #ElectoralCollegeVotes early this morning for Joe Biden. President 
@realDonaldTrump
 has vowed to continue fighting to better America. He also promised an “orderly transition on Jan. 20” but didn’t mention #Biden’s name."
136,The Associated Press declares that Joe Biden has won the presidency of the United States in a record turnout election. http://ctv.news/SbLAXlP
137,"Democratic candidate Joe Biden has won the U.S. presidential election after he secured enough electoral college votes on Saturday, according to U.S. networks. President Donald Trump is contesting some states' results. https://bit.ly/3k9Co96"
138,"Joe Biden defeated President Donald Trump to become the 46th president of the United States on Saturday, the AP reports, positioning himself to lead a nation gripped by a historic pandemic and social turmoil https://trib.al/dKd47i4"
139,"More 
@CBCNews
: Democratic candidate Joe Biden has won the U.S. presidential election after he secured enough electoral college votes, according to U.S. networks. President Donald Trump is contesting some states' results."
140,"Democrat Joe Biden defeated President Donald Trump to become the 46th president of the United States on Saturday, positioning himself to lead a nation gripped by historic pandemic and a confluence of economic and social turmoil. Details: https://trib.al/OFMwdwL"
141,"Former Vice President Joe Biden beat Republican President Donald Trump for the White House, according to NBC News projections. https://trib.al/UM1Uujj"
142,TRUMP INTERFERED WITH THIS ELECTION & STOLE THE 2016 ELECTION FROM HILLARY…HE BLAMES BIDEN FOR WHAT HE DID TO HILLARY CLINTON…OUR TRUE PRESIDENT! DEMS SHOULD LOOK INTO THE STOLEN 2016 ELECTION! https://t.co/0iNo73mlU2
