tweet,embedding_negative,embedding_neutral,embedding_positive,sentiment
"Atqasuk was the last remaining Election Day precinct outstanding. It’s a Native village of less than 300 in the North Slope.

Clinton won it by 34,
Biden lost it by 14…

This year?

President: Trump +57
Congress: Peltola (D) +18
State House: Burke (D) +38",0.19130048,0.72569114,0.08300835,neutral
"We had a very small AK update about an hour ago. It included the last remaining election day precinct, 40-016 Atqsuk. Two ED precincts also appeared to be added to the CVR. That's about it.

I'm working on updates to the interactive and charts. I doubt much changed.",0.10859263,0.69242907,0.1989783,neutral
"Here is a pie chart showing rally crowds for Trump Vs Clinton, Trump Vs Biden, and Trump Vs Biden (ending July 21 when Biden retreated).

And below is, a pie chart showing the 2020 General Election as a trio of Popular Vote x Electoral Collage x Rally Count. #piechart",0.085637726,0.82116324,0.093198985,neutral
“Joe Biden won against Barack Hussein Obama” - Donald Trump,0.13249977,0.64087915,0.22662118,neutral
"Influential pollster Frank Luntz says President Joe Biden's ""garbage"" statement about Trump supporters may have cost Kamala Harris the election. Same way Hillary Clinton's ""deplorables"" comment cost her the presidency in 2016. Talk about foot in mouth.",0.68617314,0.297719,0.01610791,negative
"A bitter Bill Clinton today said of Trump's election: ""At least this time there is no question that he actually won both the popular vote and the electoral college. When he won before, he lost the popular vote — and only won the electoral college because of the late intervention",0.24960549,0.5742635,0.17613095,neutral
"BREAKING NEWS: US President Joe Biden has announced he is stepping aside from his bid for re-election in the November election against Donald Trump.

Who should replace Biden as the nominee:
1. Michelle Obama
2. Kamala Harris
3. Hillary Clinton
4. Robert F. Kennedy Jr",0.12318708,0.83224237,0.04457056,neutral
"Former President Donald Trump holds an edge over President Biden in a series of hypothetical matchups among registered voters in four key swing states, new polling from The New York Times and Siena College shows. https://trib.al/kg8xSU3",0.007893637,0.71431094,0.27779537,neutral
"MSNBC host Rachel Maddow was so delighted last night to read a statement from Joe Biden warning Americans against electing Donald Trump after Trump's massive victories on Super Tuesday. WATCH 

Biden said Tuesday’s poll results leave Americans with a clear choice, “Are we going",0.022924533,0.13833976,0.83873576,positive
"Biden won by 75 points. Trump won by 35 points. 

Yet here is how the New York Times frames it.",0.20049335,0.6260322,0.1734745,neutral
"Biden: ""Yesterday, I spoke with president-elect Trump to congratulate him on his victory and I assured him that I would direct my entire administration to work with his team to ensure a peaceful and orderly transition.""",0.0037309336,0.14628682,0.8499822,positive
"Joe Biden: ""Yesterday I spoke with President-elect Trump and congratulated him on his victory. I assured him that I've directed my entire administration to work with his team to ensure a peaceful and orderly transition. That's what the American people deserve.""",0.0057025147,0.10454215,0.88975537,positive
NYT: Donald Trump leads Joe Biden in five of six key battlegrounds polled by The New York Times and Siena College.,0.01737574,0.7978694,0.18475491,neutral
"2024 General Presidential Election: TIPP

Trump 49%
Harris 47%

RCP Avg: Harris +0.9

This Day In History: 
October 20, 2020: Biden +8.6
October 20, 2016: Clinton +6.4

More:https://realclearpolling.com/polls/president/general/2024/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote #polling",0.10257199,0.80613124,0.09129673,neutral
"One week before the election, the sitting President, Joe Biden, calls all Republicans and Trump supporters ""garbage.""

Democrats truly believe proud Patriots are garbage. Or as Hillary Clinton called us “Deplorables”

Let's take back our country on November 5th",0.848549,0.13440895,0.017041927,negative
"2024 General Presidential Election: 
@Rasmussen_Poll
 

Trump 50%
Harris 47%

RCP Avg: Harris +0.9

This Day In History: 
October 21, 2020: Biden +7.5
October 21, 2016: Clinton +6.2

More:https://realclearpolling.com/polls/president/general/2024/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote #polling",0.10029318,0.8052519,0.09445496,neutral
"BREAKING: Trump takes historic lead over Biden in RCP Poll Average

On this day in 2015, Clinton led Trump by 5.8 points. On this day in 2019, Biden held a 5.2 point advantage over Trump.",0.029916242,0.6415771,0.3285067,neutral
"President Joe Biden's comments, in reference to Trump, while visiting with New Hampshire Democratic campaign workers are coming under scrutiny -- MORE  https://shorturl.at/sbq2T",0.29582638,0.66465575,0.039517958,neutral
"BREAKING: Joe Biden has now RETAKEN THE LEAD in the presidential race, according to multiple new polls.

Far from a Trump win, the debate and the last 2 weeks have had a positive effect for BIDEN.

Biden is the best candidate to beat Trump - and the only one who's done it before.",0.014948167,0.21361615,0.7714357,positive
"2024 General Presidential Election: Wall Street Journal

Trump 49%
Harris 46%

RCP Avg: Harris +0.2

This Day In History: 
October 24, 2020: Biden +8.1
October 24, 2016: Clinton +5.5

More:https://realclearpolling.com/polls/president/general/2024/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote 
@WSJ",0.095358625,0.8107879,0.09385352,neutral
"No matter what Trump says, Biden is the US President and Trump lost. Perhaps it's because when you put them both on a debate stage, it's clear that Biden is a leader and Trump is an embarrassment.",0.53468084,0.3957535,0.06956563,negative
"15 MILLION VOTERS GONE: Proof, the 2020 Presidential Election was stolen from President Trump and America.      

Total votes in 2020 - 155,508,985   
Total votes in 2024 - 140,306,875       

2012 Obama: 66M  
2016 Clinton: 63M  
2020 Biden: 81M?  15 Million? 
2024 Kamala: 67M",0.61498123,0.3452729,0.039745905,negative
"New Electoral Map Based on the latest Morning Consult Poll shows Donald Trump projected to beat Joe Biden by 57 votes 

h/t: 
@PpollingNumbers",0.029098121,0.81996006,0.15094182,neutral
New: CNN has just released their exclusive 2024 Presidential Poll showing Donald Trump beating Joe Biden.,0.037762605,0.7571253,0.20511203,neutral
"HILLARY CLINTON IS JEALOUS OF TRUMP CAUSE LOSING ELECTION AND IN TOP OF THAT SHE MADE FUN PREVIOUSLY PRESIDENT BIDEN AND HE WON OVER TRUMP AND SHE COULD NOT DO IT, SHE SAID WHATS WRONG WITH ME I AM NOT GOOD ENOUGH, SO NOW SHE WANTS KAMALA TO WIN SO SHE CAN LAUGH AT TRUMP, ITS HER",0.8880639,0.100130245,0.0118058575,negative
"2024 Pennsylvania: InsiderAdvantage

Trump 49%
Harris 48%

RCP Avg: Trump +0.3

Pennsylvania - 2 Days to Election: 
2020: Biden +4.3
2016: Clinton +2.8

More:https://realclearpolling.com/polls/president/general/2024/pennsylvania/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote #polling #Pennsylvania",0.09492199,0.7929751,0.112102896,neutral
"#WATCH | Washington, DC, USA: President Joe Biden and President-elect Donald Trump meet at the White House after US presidential polls

(Source: US Network Pool/Reuters)",0.030034812,0.9335638,0.036401354,neutral
"2024 General Presidential Election: TIPP

Trump 48%
Harris 48%

RCP Avg: Trump +0.5

This Day In History - 5 Days to Election: 
2020: Biden +7.4
2016: Clinton +1.3

More:https://realclearpolling.com/polls/president/general/2024/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote #polling",0.11023376,0.78959686,0.10016937,neutral
"JUST IN: Joe Biden congratulates Donald Trump on his victory and invites him to the White House.

A sick burn on Kamala Harris.",0.03453723,0.39308372,0.57237905,positive
"New NBC polling shows President Biden is leading Trump among likely voters

Drop a  for Joe",0.06395228,0.8239743,0.112073444,neutral
"| Biden está más lúcido que nunca: Después de que Kamala lo bajara de la candidatura y perdiera, el presidente Joe Biden felicitó a Donald Trump con perfecta dicción.",0.06934408,0.6485943,0.2820616,neutral
"2024 Michigan: NY Times/Siena

Harris 47%
Trump 47%

RCP Avg: Harris +0.8

Michigan - 2 Days to Election: 
2020: Biden +5.1
2016: Clinton +5.0

More:https://realclearpolling.com/polls/president/general/2024/michigan/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote #polling #Michigan",0.111724816,0.80470407,0.08357115,neutral
"Former President Donald Trump slammed President Joe Biden for the ""we've gotta lock him up"" remark he made while visiting with New Hampshire Democratic campaign workers.

READ MORE: https://thenationaldesk.com/top-videos/president-biden-on-trump-weve-gotta-lock-him-up-campaign-responds-kamala-harris-hillary-clinton-2016-rallies-politics-2024-election-new-hampshire-campaign-stop…",0.6524694,0.32994136,0.017589197,negative
"2024 Pennsylvania: USA Today/Suffolk

Trump 49%
Harris 49%

RCP Avg: Trump +0.3

Pennsylvania - 4 Days to Election: 
2020: Biden +3.6
2016: Clinton +3.0

More:https://realclearpolling.com/polls/president/general/2024/pennsylvania/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote #polling #Pennsylvania",0.11347757,0.7913242,0.09519819,neutral
"2024 General Presidential Election: 
@NBCNews
 

Harris 48%
Trump 48%

RCP Avg: Harris +1.7

This Day In History: 
October 14, 2020: Biden +9.2
October 14, 2016: Clinton +6.7

More: https://realclearpolling.com/polls/president/general/2024/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote #polling",0.10177567,0.7995953,0.098629035,neutral
"""One is, yes, old and effective and has passed legislation that's going to put America on such a strong footing for the future...The other is old and dangerous. I mean, why is that a hard choice for people?""

— 
@HillaryClinton
 weighs in on Biden-Trump race https://on.msnbc.com/4dzxnUd",0.45571023,0.4540199,0.09026989,negative
"#DemsUnited #DemVoice1 
Wow - Trump says President Joe Biden won the Presidential election running against Barrack Obama.  

…..And since that happened Joe Biden has been delivering for the American people.  Go Joe!  
#BidenHarris4MoreYears",0.03472768,0.26668575,0.6985866,positive
"PHILADELPHIA - Donald Trump is the projected winner of Pennsylvania in the 2024 presidential election, according to Fox News.
Trump, 78, recaptured the swing state he lost to President Joe Biden in the last election and won over Hillary Clinton in 2016.
His victory adds 19",0.008135778,0.34331992,0.6485443,positive
"DNC Night 1 Speaker Lineup: Here’s What Time Biden and Clinton Speak

Monday’s headliners include President Biden and the first lady, Jill Biden, along with Hillary Clinton, who was defeated by Donald J. Trump in the 2016 election.",0.120694146,0.79998094,0.07932495,neutral
"New: Joe Biden has called to congratulate President-elect Donald Trump. Biden has officially invites Trump to the White House 

Via: The AP",0.005870077,0.39537895,0.598751,positive
"2024 Pennsylvania: The Hill/Emerson

Trump 49%
Harris 48%

RCP Avg: Trump +0.3

Pennsylvania - 1 Days to Election: 
2020: Biden +2.6
2016: Clinton +2.1

More:https://realclearpolling.com/polls/president/general/2024/pennsylvania/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote #polling #Pennsylvania",0.10912676,0.79246795,0.09840523,neutral
"The linguistics behind Biden’s “garbage” gaffe: Why a tiny apostrophe may determine the outcome of the U.S. election

On Tuesday President Biden appeared to call Trump’s supporters “garbage”, echoing Hillary Clinton’s infamous “basket of deplorables” gaffe from 2016.

But whether",0.6490751,0.32812005,0.022804895,negative
"2024 Pennsylvania: 
@CNN
 

Trump 48%
Harris 48%

RCP Avg: Trump +0.7

Pennsylvania - 6 Days to Election: 
2020: Biden +3.8 
2016: Clinton +5.1

More:https://realclearpolling.com/polls/president/general/2024/pennsylvania/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote #polling #Pennsylvania",0.12374546,0.7732198,0.103034705,neutral
"Just in: President Trump is leading Joe Biden in the New York Times Poll/Siena Poll

Likely voters 
 Trump 49%
 Biden 43%

Registered voters
 Trump 49%
 Biden 41%",0.03464015,0.83383375,0.13152608,neutral
"The 2024 election has been particularly challenging. From Democrats forcing President Biden out of the race to the post-election takes from Democrats angling to turn their backs on black women and the LGBTQIA+ community, I’m feeling increasingly politically homeless.",0.86641,0.12578125,0.007808707,negative
"2024 Michigan: 
@washingtonpost
 

Harris 47%
Trump 46%

RCP Avg: Harris +0.5

Michigan - 5 Days to Election: 
2020: Biden +8.2
2016: Clinton +6.3

More:https://realclearpolling.com/polls/president/general/2024/michigan/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote #polling #Michigan",0.12566397,0.7898296,0.08450643,neutral
"But despite that gender gap favoring Vice President Kamala Harris, exit polls now show Harris’s edge among women did not exceed either Hillary Clinton or Joe Biden.",0.13008554,0.7386204,0.1312941,neutral
"President Biden on Trump: 'We've gotta lock him up'

MORE INFO: https://bit.ly/3YjR63G",0.26801705,0.68549997,0.046482857,neutral
"2024 General Presidential Election:

@Rasmussen_Poll


Trump 49%
Harris 47%

RCP Avg: Harris +1.9

This Day In History: 
September 20, 2020: Biden +6.5
September 20, 2016: Clinton +1.3

More:https://realclearpolling.com/polls/president/general/2024/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote #polling",0.09335395,0.80551887,0.101127245,neutral
"2024 General Presidential Election:
Forbes/HarrisX

Harris 52%
Trump 48%

RCP Avg: Harris +2.0

This Day In History: 
September 17, 2020: Biden +5.8
September 17, 2016: Clinton +1.0

More:https://realclearpolling.com/polls/president/general/2024/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote #polling",0.10364736,0.80156106,0.09479154,neutral
"2024 General Presidential Election: 
NY Times/Siena

Harris 47%
Trump 47%

RCP Avg: Harris +1.9

This Day In History: 
September 19, 2020: Biden +6.5 
September 19, 2016: Clinton +0.9

More:https://realclearpolling.com/polls/president/general/2024/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote #polling",0.09629654,0.80522066,0.098482706,neutral
"'WE'VE GOTTA LOCK HIM UP.' President Joe Biden's comments while visiting with New Hampshire Democratic campaign workers are coming under scrutiny.

How the Trump campaign has responded: https://bit.ly/3YdlwEJ",0.3111728,0.6478227,0.04100449,neutral
"2024 General Presidential Election: 
@YahooNews
 

Trump 47%
Harris 47%

RCP Avg: Harris +2.1

This Day In History: 
October 7, 2020: Biden +9.7
October 7, 2016: Clinton +4.7

More:https://realclearpolling.com/polls/president/general/2024/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote #polling",0.10244755,0.78667223,0.11088018,neutral
"2024 Wisconsin: NY Times/Siena 

Harris 49%
Trump 47%

RCP Avg: Harris +0.3

Wisconsin - 2 Days to Election: 
2020: Biden +6.6
2016: Clinton +5.5

More:https://realclearpolling.com/polls/president/general/2024/wisconsin/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote #polling #Wisconsin",0.10305087,0.8127232,0.08422594,neutral
"2024 General Presidential Election: 
@NBCNews
 

Trump 49%
Harris 49%

RCP Avg: Trump +0.1

This Day In History - 2 Days to Election: 
2020: Biden +7.2
2016: Clinton +1.8

More:https://realclearpolling.com/polls/president/general/2024/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote #polling",0.11439215,0.7842871,0.101320766,neutral
"In new poll (ABC News/Washington Post/Ipsos), Trump and President Biden are within one point of each other:

 Trump 47%
 Biden 46%",0.03319755,0.8661038,0.1006986,neutral
"BIDEN'S 'GARBAGE' COMMENT IS A BIGGER GAFFE THAN PEOPLE THINK

Bill Maher is warning that President Biden's recent ""garbage"" comment about Trump supporters could have a significant impact on the election. Maher suggests that this gaffe is comparable to Hillary Clinton's",0.68611985,0.2818339,0.03204623,negative
"According to reports, Michelle Obama is the voters' choice to beat Donald Trump in the US election as Joe Biden lost support after an embarrassing debate",0.35751417,0.5762474,0.06623846,neutral
A new NBC poll has Trump beating Biden 47-42 putting Trump in a position to be the first Republican Presidential candidate to win the popular vote since Bush beat Kerry in 2004.,0.0049116053,0.58465874,0.41042963,neutral
"NEW: Two polls this week show President Biden leading Trump by a wide margin among likely voters. Although we should never rely on polls, I’d much rather be Biden than Trump right now:

ABC News     49% to 45% (+4)
NPR/Marist   52% to 47% (+5)",0.27017626,0.59251416,0.13730958,neutral
Did the Democrats not learn anything from Hillary Clinton’s “deplorables” comment?! President Biden called Trump supporters garbage today. One week before the election!,0.7818227,0.19773692,0.020440403,negative
"The Trust the Plan™ people were wild. They really thought Hillary Clinton had a ankle monitor on, Mike Lindell was overturning the election, Trump was actually President, Biden and Obama were getting court-martialed. Borderline schizo or meth heads or both.",0.6798771,0.2837035,0.03641946,negative
"Dear Apple - 

Okay, the 2024 election is certified, Trump won, Dems are toast for 4 years. PLEASE fix the blankety-blank software for the iPhone keyboard so every stinkin’ time I type “President,” I’m not seeing a prompt for Obama, Biden, Clinton, or George, it actually says",0.6676409,0.2659064,0.066452704,negative
"President Donald Trump would win the election if it was held today, a day after the DNC. His odds are through the roof, and he is ahead of where he was against Clinton and Biden. Hiding Harris isn’t a smart strategy and when Trump debates her and pushes her on issues it gets",0.3931439,0.45871383,0.14814226,neutral
Our comprehensive map of every Texas precinct shows who voted for former President Donald Trump and who voted for Hillary Clinton or Joe Biden.,0.05181144,0.85826874,0.08991985,neutral
Just in: President Trump is leading Biden across all seven swing states eleven months before the 2024 Presidential Election via Bloomberg News/Morning Consult polling.,0.007464891,0.7276698,0.26486528,neutral
"Un sondage crédible NY Times/Sienna place Harris et Trump à égalité, 48% chacun.

Avec 4,3% d’avance, Biden avait gagné de justesse en 2020. Avec une avance de 2,1% Clinton avait perdu en 2016.

Donc si l’élection avait lieu aujourd’hui, Trump redeviendrait Président…",0.12930782,0.79699445,0.07369774,neutral
"2024 General Presidential Election: 
Rasmussen Reports

Trump 49%
Harris 47%

RCP Avg: Harris +1.5

This Day In History: 
September 12, 2020: Biden +7.8
September 12, 2016: Clinton +2.8

More:https://realclearpolling.com/polls/president/general/2024/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote #polling",0.108234026,0.8012126,0.09055339,neutral
"2024 General Presidential Election: 
NY Times/Siena

Trump 48%
Harris 47%

RCP Avg: Harris +1.4

This Day In History: 
September 9, 2020: Biden +7.5
September 9, 2016: Clinton +2.7

More:https://realclearpolling.com/polls/president/general/2024/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote #polling",0.0980573,0.80885744,0.0930852,neutral
"2024 General Presidential Election:
Harvard-Harris

Harris 50%
Trump 50%

RCP Avg: Harris +1.3

This Day In History: 
September 9, 2020: Biden +7.5 
September 9, 2016: Clinton +2.7

More:https://realclearpolling.com/polls/president/general/2024/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris #vote #polling",0.09502588,0.80737036,0.09760381,neutral
hmm #harris #president #democratic #trump #speech #biden #american #convention #clinton #election,0.12507962,0.78619134,0.08872902,neutral
"2024 General Presidential Election:

@Rasmussen_Poll
 

Trump 47%
Harris 46%

RCP Avg: Harris +1.8

This Day In History: 
September 5, 2020: Biden +7.0
September 5, 2016: Clinton +3.6

More:https://realclearpolling.com/polls/president/general/2024/trump-vs-harris…

#poll #politics #election2024 #Trump #Harris  #polling #vote",0.09343684,0.8074056,0.09915761,neutral
"2024 General Presidential Election: 
Morning Consult

Harris 50%
Trump 45%

RCP Avg: Harris +1.5

This Day In History: 
September 12, 2020: Biden +7.8
September 12, 2016: Clinton +2.8

More:https://realclearpolling.com/polls/president/general/2024/trump-vs-harris…
#poll #politics #election2024 #Trump #Harris 
@MorningConsult",0.09182338,0.8178023,0.09037431,neutral
hillary clinton stole the election for trump because if she couldn’t be the first woman president nobody can,0.57803583,0.38767642,0.034287766,negative
"President Biden WALLOPED his opponents by over 40 points, wasn't even on the ballot.

trump barely eked out a weak, low-energy win against Nikki Haley by a mere 11 points.

ADVANTAGE: BIDEN
Suck it, MAGA.",0.5916544,0.33394375,0.07440184,negative
"Election results from the tiny town Dixville Notch, Maine!  

2016: Hillary Clinton 4-2 President Trump 
2020: Joe Biden 5-0 President Trump 

2024: Kamala Harris 3-3 President Trump",0.092049055,0.81084985,0.09710117,neutral
"BREAKING: Donald Trump captures lead in RCP policing average against Joe Biden. 

https://realclearpolitics.com/epolls/2024/president/us/general-election-trump-vs-biden-7383.html…",0.11330956,0.77364063,0.11304976,neutral
"Former President Bill Clinton paid a visit to a Georgia McDonald's where an employee mistook him for ""Joe,"" possibly referring to President Biden.",0.2896645,0.65350246,0.05683302,neutral
President Joe Biden's comments while visiting with New Hampshire Democratic campaign workers Tuesday are coming under scrutiny.,0.24329592,0.7261002,0.030603956,neutral
"""President #Biden takes action where #DonaldTrump never would and announces massive, sweeping actions to thwart #Russia's sinister efforts to influence the 2024 presidential #election""

#GOP-#MAGA-#Trump-#Vance-#Putin #Kamala #Harris #Walz #Hillary #Clinton #RussiaGate #FBI #DOJ",0.32354197,0.5886183,0.08783974,neutral
trump beat clinton in 2016 which the democrats didn t expect to happen or they would have rigged the election  so not to take the chance of it happening they rigged the 2020 election which gave biden more votes than any other president which would document a rigged election,0.64355415,0.33217907,0.024266804,negative
"Trump is grasping and desperate. 

But in America, we count every vote. 

https://apnews.com/article/voting-ballots-election-night-trump-winner-61d69529c5e135f34fac2bf2d3bbe3e9…",0.7128472,0.2660899,0.021062886,negative
"2024 General Presidential Election: 
NPR/PBS/Marist 

Harris 49%
Trump 48%

RCP Avg: Harris +1.1

This Day In History: 
September 10, 2020: Biden +7.5 
September 10, 2016: Clinton +2.7

More:https://realclearpolling.com/polls/president/general/2024/trump-vs-harris…
#poll #politics #election2024 #Trump #Harris #vote #polling",0.103270575,0.80132335,0.09540609,neutral
New CNN poll shows Trump leading Biden 49% to 43% for the  US presidential election.,0.016641164,0.845132,0.13822682,neutral
"Biden is electing Trump himself if he doesn’t change course on policy towards Israel. 

Biden won with razor thin margins in swing states in 2020 with a broad coalition.

He won’t be able to replicate that in 2024 if there isn’t a serious course correction.",0.34547588,0.5513629,0.103161246,neutral
"exactly, that's why tRump should be in prison for the rest of his life as he paid Putin and Russia to help him spread lies about Hillary Clinton to win the 2016 election and then tried to bribe the Ukraine President in 2020 to spread lies about Biden. Arrest tRump (again)!!!",0.9135117,0.08173254,0.0047557727,negative
"Former President Donald Trump narrowly leads President Biden 49% to 45% among registered voters in a hypothetical 2024 rematch, and both are deeply unpopular, a CNN poll finds. https://trib.al/SgeOTgs",0.6468718,0.32400522,0.029122964,negative
"President Trump on Tuesday told a crowd of supporters that they must “forgive” President Biden after he compared Trump’s supporters to garbage.
“Wow. That's terrible,” Trump said, invoking Hillary Clinton’s infamous “deplorable” remarks in the weeks before the 2016 election.",0.76286024,0.21302238,0.024117358,negative
"Breaking News
President Joe Biden has endorsed Donald Trump for President.* It's another wild turn in one of the wildest elections of all time. 

*not a true fact",0.32498503,0.49007815,0.18493687,neutral
"Biden calls Trump ‘loser,’ says election is about ‘decency versus lack of decency’",0.7016085,0.28554162,0.012849807,negative
"Polls show Donald Trump leading President Joe Biden, which could signal that voters view indictments against the former president as politically driven, pollsters told NEWSMAX. https://bit.ly/3UpBCL9",0.23188116,0.7141529,0.05396594,neutral
"And this is why we lost the election.

People sitting on their asses waiting on President Biden to save us. 

All you had to do was go into the voting booth and click “Harris.”

Biden shouldn’t do shit except stay black and die. https://x.com/NashIsHere4It//NashIsHere4It/status/1857809151092572315…",0.86124533,0.12657936,0.012175367,negative
Trump widens lead over Biden in new CNN poll,0.013325413,0.72683764,0.259837,neutral
BREAKING: President Biden meets and congratulates Preside-Elect Donald Trump on his usa presidential elections victory.,0.0039944365,0.17912337,0.8168822,positive
"Biden: 'We've gotta lock YOU up' in a mental institution... And we should have done it 4 years ago JOE!

President Biden on Trump: 'We've gotta lock him up'",0.5694395,0.38781902,0.04274144,negative
"They know what’s coming. We have all the proof of widespread 2020 election fraud. That’s why Biden, Comey, Obama, Clinton, Brennan, Wray and Garland are all panicking and pushing hard against President Trump, but it won’t work this time. 100 million awake and will not allow it.",0.79745674,0.19018371,0.012359476,negative
THE MANIPULATION OF ELECTIONS: Veteran U.S. Air Force CIA Officer has evidence that can prove the source code operating the election machines in Smartmatic and Dominion voting machines that determines the U.S. Presidency are owned by the Venezuelan Narco Regime and made in China.,0.27410913,0.6973764,0.028514452,neutral
President Biden opens up lead on Donald Trump amid growing gender gap: Quinnipiac poll https://trib.al/yxsiBGT,0.03975777,0.8022045,0.15803774,neutral
"Former President Bill Clinton paid a visit Sunday to a Georgia McDonald's where an employee mistook him for ""Joe,"" possibly referring to President Joe Biden.",0.2606014,0.67062014,0.06877849,neutral
"First vote on Election Day ends in a tie: 3 for Donald Trump, 3 for Kamala Harris. Joe Biden won in 2020, Hillary Clinton in 2016",0.06937989,0.8073854,0.12323475,neutral
"Stop asking JD Vance whether the felon lost the 2020 election to President Biden. His non answer will be a version of how there were problems with the election. Instead, ask shady Vance  whether former First Lady Hillary Clinton lost to felon trump in 2016.",0.695463,0.28538465,0.01915235,negative
"𝐓𝐫𝐮𝐦𝐩 𝐁𝐄𝐀𝐓𝐒 𝐁𝐢𝐝𝐞𝐧

Trump - 46%
Biden - 42%

Donald Trump is crushing Biden, and crushing the GOP primary field.

It's time for Republicans to coalesce around the ONLY candidate who can beat Biden: Donald J. Trump!",0.39683673,0.47510263,0.1280606,neutral
"Donald Trump holds a narrow lead over President Biden in their potential rematch in November's general election, a new CNN poll has found https://cnn.it/3vXjuOC",0.0075864303,0.7480854,0.2443282,neutral
"According to new polling from Stack Data Strategy, Trump would today beat Biden in the Electoral College, 292 to 246.


@NoLabelsOrg
, are you now going to keep your commitment to get out of the race if it hurts Biden like you said?",0.14827281,0.7578942,0.09383293,neutral
"FiveThirtyEight probability of each candidate winning the election for President:

2024 Current - Harris 58%  Trump 42%

2020 Final - Biden 89%  Trump 11%

2016 Final - Clinton 71%  Trump 29%",0.05159374,0.8335154,0.114890896,neutral
"Trump has edge over Biden in 5 battleground states, polling indicates",0.020602897,0.7820506,0.19734651,neutral
"Trump denies Biden administration access to classified materials

US President Donald Trump has revoked the security clearance of several political figures, including his election rivals Hillary Clinton and former Vice President Kamala Harris.

This is stated in a memorandum",0.5549088,0.43360353,0.011487727,negative
I’ve seen enough. Incumbent Joe Biden (D) has defeated Donald Trump (R) for the second time for President of the United States.,0.26010615,0.6147171,0.12517671,neutral
"The Democratic National Convention begins tonight in Chicago, with President Joe Biden and former Secretary of State Hillary Clinton slated to speak. 

For what we know about the speakers, celebrity hosts, and start times, plus live updates",0.012560748,0.88334864,0.10409061,neutral
